pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,836.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,841.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,847.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,851.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,848.83
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,841.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,836.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,837.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,849.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,853.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,850.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,842.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,837.82
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,839.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,844.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,851.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,855.03
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,851.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,844.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,839.45
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,840.5
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,845.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,854.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,857.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,854.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,846.5
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,841.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,842.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,848.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,856.42
